ts,selected,market_score,best_symbol_raw,best_score_raw,prev_selected,prev_score_raw
2019-06-11,BTCUSDT,37.26752193800674,BTCUSDT,35.225463607889935,BTCUSDT,35.225463607889935
2019-06-12,BTCUSDT,42.03321785409162,BTCUSDT,30.643805217345218,BTCUSDT,30.643805217345218
2019-06-13,BTCUSDT,38.763535070664965,BTCUSDT,32.19152231335428,BTCUSDT,32.19152231335428
2019-06-14,BTCUSDT,38.85768952485169,BTCUSDT,55.134827878911594,BTCUSDT,55.134827878911594
2019-06-15,CASH,39.35745526228195,CASH,,BTCUSDT,
2019-06-16,CASH,40.46117344200262,CASH,,CASH,
2019-06-17,CASH,44.03292272244152,CASH,,CASH,
2019-06-18,CASH,42.693061582594275,CASH,,CASH,
2019-06-19,CASH,46.49372216254811,CASH,,CASH,
2019-06-20,BNBUSDT,46.080512524007574,BNBUSDT,112.14734939278523,CASH,
