date,model_index,btc_index,model_authorized_exposure_x,model_authorized_return_net,model_authorized_return_gross,model_transition_cost,model_asset_transition_day
2025-07-30,12.174428090445907,12.14234609841466,1.2302766285747924,-0.0021319565683466306,-0.0016872180139179984,0.0,False
2025-07-31,12.233052468557956,12.130974881614165,1.2312143059875669,0.0048153701904121195,0.005260698114565701,0.0,False
2025-08-01,11.78663681666585,11.917240065884291,1.230549452948576,-0.03649258049366732,-0.03604767045763537,0.0,False
2025-08-02,10.950899890452396,11.663364216594605,1.2397432114253584,-0.07090546177105866,-0.0704547730708178,0.0,False
2025-08-03,10.573372765027587,11.585994441012971,1.2585247143777873,-0.03447452987438578,-0.03401203620894217,0.0,False
2025-08-04,10.553928967185422,11.757135062795964,0.0,-0.0018389399744305332,0.0,0.0018389399744305332,True
2025-08-05,10.553928967185422,11.844248507309038,0.0,0.0,0.0,0.0,False
2025-08-06,10.553928967185422,11.748996294008647,0.0,0.0,0.0,0.0,False
2025-08-07,10.743791001250937,11.837787729050854,1.0,0.017989701717326195,0.019739701717326197,0.00145,True
2025-08-08,11.403798144384913,12.093063619518222,1.0017190743649447,0.06143149499623828,0.06173257550684015,0.0,False
2025-08-09,11.343692071189531,12.010988264360718,1.0,-0.005270706516756217,-0.00206794682422462,0.0029027596925315967,True
2025-08-10,11.252674056635792,11.989113650401482,1.0032197299441303,-0.008023667601565579,-0.007721643865762912,0.0,False
2025-08-11,11.236299752204191,12.280653695696932,0.0,-0.001455147847452727,0.0,0.001455147847452727,True
2025-08-12,11.144310765884308,12.218035824583076,1.0,-0.008186768629222267,-0.006436768629222267,0.00145,True
2025-08-13,12.111903289546891,12.367108297302861,1.001764445103824,0.086823900014045,0.0871250090420661,0.0,False
2025-08-14,12.625710645667825,12.693683343627754,1.25,0.04242168582739355,0.043238565565556775,0.0003597442145492598,True
2025-08-15,11.952252264228612,12.177793905703108,1.2406098061353013,-0.05334023567776691,-0.05288900228627201,0.0,False
2025-08-16,11.59263926907057,12.079682931850936,1.2546437998232505,-0.030087466965060043,-0.029627412617778938,0.0,False
2025-08-17,11.529627641471414,12.083658637018736,1.2630173809305152,-0.005435485926597587,-0.004970168431109228,0.0,False
2025-08-18,11.690273990567691,12.086165328392012,1.2649226819352994,0.013933351023275043,0.014399866080647517,0.0,False
2025-08-19,11.159295424502696,11.964901173563929,1.261742250341048,-0.04542054074125348,-0.04495602471901653,0.0,False
2025-08-20,10.371025006653843,11.61961601811818,1.2746830175529804,-0.07063800964692009,-0.07016535980775589,0.0,False
2025-08-21,10.35153473249297,11.763560840024706,0.0,-0.001879300662024097,0.0,0.001879300662024097,True
2025-08-22,10.35153473249297,11.581222977146387,0.0,0.0,0.0,0.0,False
2025-08-23,10.35153473249297,12.0378834671608,0.0,0.0,0.0,0.0,False
2025-08-24,10.35153473249297,11.883679225859584,0.0,0.0,0.0,0.0,False
2025-08-25,10.332779342532005,11.6835073090385,1.25,-0.0018118463054655328,0.00045778921814843,0.0018124999999999999,True
2025-08-26,9.234101631068706,11.335390158534073,1.252727538981407,-0.10632935002694767,-0.10587050013026963,0.0,False
2025-08-27,9.837501779507763,11.50537574634548,1.2833106233104103,0.065344759300556,0.06582283195311313,0.0,False
2025-08-28,9.819437628120085,11.453779081737698,0.0,-0.0018362539385057524,0.0,0.0018362539385057524,True
2025-08-29,9.819437628120085,11.58810994441013,0.0,0.0,0.0,0.0,False
2025-08-30,9.819437628120085,11.156825200741197,0.0,0.0,0.0,0.0,False
2025-08-31,9.819437628120085,11.202010500308832,0.0,0.0,0.0,0.0,False
