policy,group,key,log_growth,annual_cost_fraction,annual_turnover,event_count
aggressive_1.25__growth,asset,LTC,0.06355150567959256,0.00424644116092475,2.3779873466865125,113
aggressive_1.25__growth,asset,DOGE,0.057763413387587295,0.004540804568857176,2.118160806654119,591
aggressive_1.25__growth,asset,ADA,-0.16440072031970865,0.004293954043205674,2.3475108397249187,190
aggressive_1.25__growth,asset,LINK,-0.04463325006583128,0.007516187397806555,3.7555240966249377,306
aggressive_1.25__growth,asset,BNB,-0.6394667804065711,0.010025885553012669,4.070545056958144,586
aggressive_1.25__growth,asset,BTC,0.10134815828007422,0.00975844287668422,4.685492575398443,327
aggressive_1.25__growth,asset,TRX,0.5356398499536527,0.01967666153384456,6.632611571369573,1073
aggressive_1.25__growth,asset,XRP,-0.0526449119382772,0.011523223039487001,4.626077948926929,947
aggressive_1.25__growth,asset,ETH,0.13587676237331095,0.012354923839550502,4.6152151235864896,605
aggressive_1.25__growth,asset,SOL,-0.1047849128081671,0.011479583416914121,5.104138927087844,830
aggressive_1.25__growth,asset,AVAX,0.14383809423884053,0.007091522800682443,2.880626943745132,674
aggressive_1.25__growth,asset,DOT,-0.020919998397197086,0.0017128834597173262,0.7689561927037895,105
aggressive_1.25__growth,cost,fee,,0.01979228134326007,0.0,0
aggressive_1.25__growth,cost,slippage,,0.04398284742946682,0.0,0
aggressive_1.25__growth,cost,funding,,0.04044538491796003,0.0,0
aggressive_1.5__calmar,event,entry,-0.16695327417178263,0.02910466732469261,20.072184361856987,188
aggressive_1.5__calmar,event,funding,-0.21865267666332805,0.0381346948178421,0.0,1349
aggressive_1.5__calmar,event,mark,0.6739700778647556,0.0,0.0,5351
aggressive_1.5__calmar,event,rotation,-0.1386008690338261,0.024162453608582945,16.663761109367545,161
aggressive_1.5__calmar,event,resize,-0.017578699104390354,0.003065637633547467,2.1142328507223898,212
aggressive_1.5__calmar,event,stop,-0.018143701152023288,0.0031627967903563236,2.1812391657629817,23
aggressive_1.5__calmar,event,boundary_exit,-0.0019344627281241995,0.0003373340243043834,0.23264415469267816,4
aggressive_1.5__calmar,event,partial_tp,-0.003683579158901807,0.000642297420518397,0.44296373828854957,6
aggressive_1.5__calmar,regime,up_normal_vol,0.31721063628261087,0.07611646004996318,33.19028678442045,5391
aggressive_1.5__calmar,regime,up_high_vol,-0.04580721457725472,0.0005829372381472383,0.3205377087121153,93
aggressive_1.5__calmar,regime,down_high_vol,-0.07364492676302271,0.0011340710217598987,0.6621077190325049,78
aggressive_1.5__calmar,regime,down_normal_vol,-0.08933567908995264,0.020776413309973932,7.534093168526057,1732
aggressive_1.5__calmar,asset,LTC,0.06457405997228235,0.00435548558943836,2.445486822263906,113
aggressive_1.5__calmar,asset,DOGE,0.06749731922289633,0.004543004742108145,2.1196781675168563,592
aggressive_1.5__calmar,asset,ADA,-0.16637034445218926,0.004309650307880935,2.3556470267206837,191
aggressive_1.5__calmar,asset,LINK,-0.05679882763768015,0.007090789144020977,3.7303193559481578,345
aggressive_1.5__calmar,asset,BNB,-0.41638188560525435,0.01049011758111991,4.32574843092603,704
aggressive_1.5__calmar,asset,BTC,0.10297999649957287,0.0074551122449084415,3.4472453445528983,323
aggressive_1.5__calmar,asset,TRX,0.5516013142013294,0.024193044863199967,7.324052545786284,1871
aggressive_1.5__calmar,asset,XRP,-0.06773475028744626,0.00809354383855736,3.650553010146301,945
aggressive_1.5__calmar,asset,ETH,-0.043852566376042595,0.008370075699213634,3.900812590384388,598
aggressive_1.5__calmar,asset,SOL,-0.08300949168332256,0.011314917256950358,4.942724468326377,861
aggressive_1.5__calmar,asset,AVAX,0.1768379903954308,0.006681256892728767,2.6958014254154605,646
aggressive_1.5__calmar,asset,DOT,-0.02091999839719749,0.0017128834597173268,0.7689561927037895,105
aggressive_1.5__calmar,cost,fee,,0.018768161421311002,0.0,0
aggressive_1.5__calmar,cost,slippage,,0.04170702538069112,0.0,0
aggressive_1.5__calmar,cost,funding,,0.0381346948178421,0.0,0
aggressive_1.5__defensive,event,entry,-0.0816212508139786,0.014233002525630159,9.815863810779417,203
aggressive_1.5__defensive,event,funding,-0.1188005122180679,0.02072059321725393,0.0,1193
aggressive_1.5__defensive,event,mark,0.4834881135479789,0.0,0.0,4704
aggressive_1.5__defensive,event,rotation,-0.060191113716451,0.010496188498978128,7.238750688950429,153
aggressive_1.5__defensive,event,partial_tp,-0.0055832560161801735,0.0009737018931375819,0.6715185469914355,26
aggressive_1.5__defensive,event,stop,-0.014295749356908586,0.0024929519208537437,1.7192771867956849,47
aggressive_1.5__defensive,event,resize,-0.00573000911972494,0.0009993742525494867,0.6892236224479213,112
aggressive_1.5__defensive,event,boundary_exit,-0.0008074397906608088,0.00014081760818351804,0.09711559185070211,3
aggressive_1.5__defensive,regime,up_normal_vol,0.2212117316941167,0.035309426141762204,15.442404829804515,4482
aggressive_1.5__defensive,regime,up_high_vol,-0.014221050663502759,0.00019461367417412695,0.10737191128838514,93
aggressive_1.5__defensive,regime,down_high_vol,-0.02497656468152381,0.0003734315424194484,0.21732967278872412,76
aggressive_1.5__defensive,regime,down_normal_vol,0.014444666166917254,0.014179158558230735,4.464643033933951,1790
aggressive_1.5__defensive,asset,LTC,0.02204630700260343,0.0014573036025302313,0.8184155384398271,113
aggressive_1.5__defensive,asset,DOGE,0.007384507011507213,0.0017350567280956717,0.8441171363868142,417
aggressive_1.5__defensive,asset,ADA,-0.05309908870552136,0.0014309393745121674,0.7813363503434088,188
aggressive_1.5__defensive,asset,LINK,-0.0021221178842291905,0.002815798148370659,1.3871058648957653,344
aggressive_1.5__defensive,asset,BNB,-0.09737209965327343,0.005630545163964169,2.1789512512231077,711
aggressive_1.5__defensive,asset,BTC,0.05700803413563185,0.00413644418072787,1.9940225182176128,326
aggressive_1.5__defensive,asset,TRX,0.29655494236113294,0.01652819022265884,4.778218860137447,1722
